iana_name,standard_abbr,iana_group_abbr,iana_group,windows_id,windows_name,windows_display,windows_group_id,windows_group_name,windows_group_display,closest_windows_display
America/Denver,MT,MT,America/Denver,500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),(UTC-07:00) Mountain Time (US and Canada)
America/Santiago,-03,-03,America/Santiago,820,Pacific SA Standard Time,(UTC-04:00) Santiago,820,Pacific SA Standard Time,(UTC-04:00) Santiago,(UTC-04:00) Santiago
Australia/Brisbane,AEST,AEST,Australia/Brisbane,2210,E. Australia Standard Time,(UTC+10:00) Brisbane,2210,E. Australia Standard Time,(UTC+10:00) Brisbane,(UTC+10:00) Brisbane
America/Phoenix,MT,MT,America/Phoenix,520,US Mountain Standard Time,(UTC-07:00) Arizona,520,US Mountain Standard Time,(UTC-07:00) Arizona,(UTC-07:00) Arizona
Australia/Sydney,AEST,AEST,Australia/Sydney,2200,AUS Eastern Standard Time,"(UTC+10:00) Canberra, Melbourne, Sydney",2200,AUS Eastern Standard Time,"(UTC+10:00) Canberra, Melbourne, Sydney","(UTC+10:00) Canberra, Melbourne, Sydney"
Europe/Lisbon,WET,GMT,Europe/London,1200,GMT Standard Time,"(UTC) Dublin, Edinburgh, Lisbon, London",1200,GMT Standard Time,"(UTC) Dublin, Edinburgh, Lisbon, London","(UTC) Dublin, Edinburgh, Lisbon, London"
Asia/Jerusalem,IST,EET,Europe/Athens,1440,Israel Standard Time,(UTC+02:00) Jerusalem,1430,GTB Standard Time,"(UTC+02:00) Athens, Bucharest",(UTC+02:00) Jerusalem
America/Havana,CT,ET,America/New_York,NA,NA,NA,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Asuncion,-03,-03,America/Asuncion,850,Paraguay Standard Time,(UTC-04:00) Asuncion,850,Paraguay Standard Time,(UTC-04:00) Asuncion,(UTC-04:00) Asuncion
Pacific/Auckland,NZST,NZST,Pacific/Auckland,2410,New Zealand Standard Time,"(UTC+12:00) Auckland, Wellington",2410,New Zealand Standard Time,"(UTC+12:00) Auckland, Wellington","(UTC+12:00) Auckland, Wellington"
Asia/Gaza,EET,EET,Africa/Cairo,NA,NA,NA,1410,Egypt Standard Time,(UTC+02:00) Cairo,(UTC+02:00) Cairo
Europe/Dublin,GMT,GMT,Europe/London,1200,GMT Standard Time,"(UTC) Dublin, Edinburgh, Lisbon, London",1200,GMT Standard Time,"(UTC) Dublin, Edinburgh, Lisbon, London","(UTC) Dublin, Edinburgh, Lisbon, London"
Asia/Beirut,EET,EET,Europe/Athens,1460,Middle East Standard Time,(UTC+02:00) Beirut,1430,GTB Standard Time,"(UTC+02:00) Athens, Bucharest",(UTC+02:00) Beirut
Europe/Chisinau,EET,EET,Europe/Athens,1400,E. Europe Standard Time,(UTC+02:00) Minsk,1430,GTB Standard Time,"(UTC+02:00) Athens, Bucharest",(UTC+02:00) Minsk
Asia/Sakhalin,+11,+11,Asia/Magadan,NA,NA,NA,2310,Magadan Standard Time,(UTC+12:00) Magadan,(UTC+12:00) Magadan
America/Halifax,AST,AST,America/Halifax,800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),(UTC-04:00) Atlantic Time (Canada)
Pacific/Honolulu,HST,HST,Pacific/Honolulu,200,Hawaiian Standard Time,(UTC-10:00) Hawaii,200,Hawaiian Standard Time,(UTC-10:00) Hawaii,(UTC-10:00) Hawaii
Australia/Adelaide,ACST,ACST,Australia/Adelaide,2140,Cen. Australia Standard Time,(UTC+09:30) Adelaide,2140,Cen. Australia Standard Time,(UTC+09:30) Adelaide,(UTC+09:30) Adelaide
Pacific/Fiji,+12,+12,Pacific/Fiji,2400,Fiji Standard Time,(UTC+12:00) Fiji,2400,Fiji Standard Time,(UTC+12:00) Fiji,(UTC+12:00) Fiji
America/Anchorage,AKST,AKST,America/Anchorage,300,Alaskan Standard Time,(UTC-09:00) Alaska,300,Alaskan Standard Time,(UTC-09:00) Alaska,(UTC-09:00) Alaska
Atlantic/Cape_Verde,-01,-01,Atlantic/Cape_Verde,NA,Cabo Verde Standard Time,(UTC-01:00) Cabo Verde Is.,NA,Cabo Verde Standard Time,(UTC-01:00) Cabo Verde Is.,(UTC-01:00) Cabo Verde Is.
America/St_Johns,NST,NST,America/St_Johns,900,Newfoundland Standard Time,(UTC-03:30) Newfoundland,900,Newfoundland Standard Time,(UTC-03:30) Newfoundland,(UTC-03:30) Newfoundland
Pacific/Tongatapu,+13,+13,Pacific/Tongatapu,2500,Tonga Standard Time,(UTC+13:00) Nuku'alofa,2500,Tonga Standard Time,(UTC+13:00) Nuku'alofa,(UTC+13:00) Nuku'alofa
Australia/Darwin,ACST,ACST,Australia/Darwin,2130,AUS Central Standard Time,(UTC+09:30) Darwin,2130,AUS Central Standard Time,(UTC+09:30) Darwin,(UTC+09:30) Darwin
Atlantic/Azores,-01,-01,Atlantic/Azores,1100,Azores Standard Time,(UTC-01:00) Azores,1100,Azores Standard Time,(UTC-01:00) Azores,(UTC-01:00) Azores
America/Scoresbysund,-01,-01,Atlantic/Azores,1100,Azores Standard Time,(UTC-01:00) Azores,1100,Azores Standard Time,(UTC-01:00) Azores,(UTC-01:00) Azores
Etc/UTC,UTC,GMT,Africa/Abidjan,1230,UTC,(UTC) Coordinated Universal Time,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",(UTC) Coordinated Universal Time
Africa/Accra,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Addis_Ababa,EAT,MSK,Europe/Moscow,1520,E. Africa Standard Time,(UTC+03:00) Nairobi,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",(UTC+03:00) Nairobi
Africa/Algiers,CET,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Asmara,EAT,MSK,Europe/Moscow,NA,NA,NA,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd","(UTC+04:00) Moscow, St. Petersburg, Volgograd"
Africa/Asmera,EAT,MSK,Europe/Moscow,1520,E. Africa Standard Time,(UTC+03:00) Nairobi,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",(UTC+03:00) Nairobi
Africa/Bamako,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Bangui,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Banjul,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Bissau,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Blantyre,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Brazzaville,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Bujumbura,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Ceuta,CET,CET,Europe/Paris,1320,Romance Standard Time,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",1320,Romance Standard Time,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris","(UTC+01:00) Brussels, Copenhagen, Madrid, Paris"
Africa/Conakry,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Dakar,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Dar_es_Salaam,EAT,MSK,Europe/Moscow,1520,E. Africa Standard Time,(UTC+03:00) Nairobi,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",(UTC+03:00) Nairobi
Africa/Djibouti,EAT,MSK,Europe/Moscow,1520,E. Africa Standard Time,(UTC+03:00) Nairobi,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",(UTC+03:00) Nairobi
Africa/Douala,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/El_Aaiun,+01,+01,Africa/Casablanca,1220,Morocco Standard Time,(UTC) Casablanca,1220,Morocco Standard Time,(UTC) Casablanca,(UTC) Casablanca
Africa/Freetown,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Gaborone,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Harare,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Juba,CAT,SAST,Africa/Johannesburg,NA,NA,NA,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Kampala,EAT,MSK,Europe/Moscow,1520,E. Africa Standard Time,(UTC+03:00) Nairobi,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",(UTC+03:00) Nairobi
Africa/Khartoum,CAT,SAST,Africa/Johannesburg,NA,NA,NA,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Kigali,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Kinshasa,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Libreville,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Lome,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Luanda,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Lubumbashi,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Lusaka,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Malabo,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Maputo,CAT,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Maseru,SAST,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Mbabane,SAST,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Mogadishu,EAT,MSK,Europe/Moscow,1520,E. Africa Standard Time,(UTC+03:00) Nairobi,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",(UTC+03:00) Nairobi
Africa/Monrovia,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Nairobi,EAT,MSK,Europe/Moscow,1520,E. Africa Standard Time,(UTC+03:00) Nairobi,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",(UTC+03:00) Nairobi
Africa/Ndjamena,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Niamey,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Nouakchott,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Ouagadougou,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Porto-Novo,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Sao_Tome,GMT,GMT,Africa/Abidjan,NA,NA,NA,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Timbuktu,GMT,GMT,Africa/Abidjan,NA,NA,NA,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
Africa/Tripoli,EET,SAST,Africa/Johannesburg,NA,NA,NA,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
Africa/Tunis,CET,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Africa/Windhoek,CAT,SAST,Africa/Johannesburg,1350,Namibia Standard Time,(UTC+01:00) Windhoek,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",(UTC+01:00) Windhoek
America/Anguilla,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Antigua,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Araguaina,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Buenos_Aires,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Catamarca,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/ComodRivadavia,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Cordoba,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Jujuy,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/La_Rioja,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Mendoza,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Rio_Gallegos,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Salta,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/San_Juan,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/San_Luis,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Tucuman,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Ushuaia,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Aruba,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Atikokan,ET,-05,America/Lima,NA,NA,NA,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Bahia,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Bahia_Banderas,CT,CT,America/Mexico_City,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey","((UTC-06:00) Guadalajara, Mexico City, Monterrey"
America/Barbados,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Belem,-03,-03,America/Sao_Paulo,940,SA Eastern Standard Time,"(UTC-03:00) Cayenne, Fortaleza",910,E. South America Standard Time,(UTC-03:00) Brasilia,"(UTC-03:00) Cayenne, Fortaleza"
America/Belize,CT,CT,America/Mexico_City,610,Central America Standard Time,(UTC-06:00) Central America,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",(UTC-06:00) Central America
America/Blanc-Sablon,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Boa_Vista,-04,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Bogota,-05,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
